num_expediente;tipo_accidente;distrito;estado_meteorologico;franja_horaria;tipo_via;coordenada_x_utm;coordenada_y_utm;fecha;hora_numero;nivel_lesividad
2024S028162;Colisión doble;HORTALEZA;Nublado;Mañana;Vías de pequeño tamaño;446079,0;4479304,0;2024-10-08;7;0
2024S028163;Choque;FUENCARRAL-EL PARDO;Despejado;Mediodía;Vías de pequeño tamaño;438333,0;4480734,0;2024-10-07;14;0
2024S028164;Colisión doble;FUENCARRAL-EL PARDO;Nublado;Mañana;Vías de pequeño tamaño;441963,0;4484502,0;2024-10-08;9;0
2024S028166;Colisión doble;ARGANZUELA;Nublado;Mañana;Vías de pequeño tamaño;440911,0;4471985,0;2024-10-08;9;1
2024S028168;Otras causas;CARABANCHEL;Nublado;Mañana;Vías de pequeño tamaño;435642,0;4469465,0;2024-10-08;9;0
2024S028169;Colisión doble;HORTALEZA;Nublado;Mañana;Vías de pequeño tamaño;444598,0;4480689,0;2024-10-08;9;0
2024S028172;Atropello a persona;LATINA;Nublado;Mañana;Vías de pequeño tamaño;438334,0;4473765,0;2024-10-08;10;1
2024S028173;Colisión doble;CHAMARTÍN;Lluvia débil;Mañana;Vías de pequeño tamaño;442425,0;4476776,0;2024-10-08;10;0
2024S028174;Colisión doble;CHAMARTÍN;Nublado;Mañana;Plazas o glorietas;442517,0;4477803,0;2024-10-08;10;0
2024S028175;Colisión doble;VILLAVERDE;Nublado;Mañana;Vías de gran tamaño;439331,0;4468362,0;2024-10-08;9;0
2024S028176;Choque;SALAMANCA;Nublado;Mañana;Vías de pequeño tamaño;443310,0;4475393,0;2024-10-08;11;0
2024S028177;Colisión doble;FUENCARRAL-EL PARDO;Despejado;Mañana;Vías de pequeño tamaño;441001,0;4482085,0;2024-10-08;9;0
2024S028179;Colisión doble;ARGANZUELA;Nublado;Mediodía;Vías de pequeño tamaño;441139,0;4472476,0;2024-10-08;12;0
2024S028180;Colisión doble;CIUDAD LINEAL;Nublado;Mañana;Vías de pequeño tamaño;444744,0;4477914,0;2024-10-08;10;0
2024S028181;Alcance;SALAMANCA;Nublado;Mañana;Vías de pequeño tamaño;442260,0;4474767,0;2024-10-08;10;0
2024S028182;Atropello a persona;TETUÁN;Nublado;Mediodía;Vías de pequeño tamaño;440681,0;4479177,0;2024-10-08;12;1
2024S028183;Colisión doble;CARABANCHEL;Nublado;Mediodía;Vías de pequeño tamaño;439486,0;4472013,0;2024-10-08;13;0
2024S028184;Alcance;MONCLOA-ARAVACA;Nublado;Noche;Vías de gran tamaño;438207,0;4479078,0;2024-10-07;21;0
2024S028185;Alcance;PUENTE DE VALLECAS;Nublado;Mediodía;Vías de pequeño tamaño;443153,0;4472067,0;2024-10-08;13;1
2024S028186;Otras causas;CHAMBERÍ;Despejado;Mediodía;Vías de pequeño tamaño;439434,0;4476445,0;2024-10-08;12;0
2024S028187;Alcance;MONCLOA-ARAVACA;Nublado;Mañana;Vías rápidas o carreteras;437328,0;4477099,0;2024-10-08;8;1
2024S028188;Otras causas;TETUÁN;Nublado;Mediodía;Vías de pequeño tamaño;439694,0;4479890,0;2024-10-08;13;0
2024S028189;Alcance;SAN BLAS-CANILLEJAS;Nublado;Mediodía;Vías de gran tamaño;449027,0;4475981,0;2024-10-08;14;0
2024S028190;Colisión doble;CARABANCHEL;Nublado;Mediodía;Vías de gran tamaño;439055,0;4470752,0;2024-10-08;13;1
2024S028191;Alcance;CARABANCHEL;Lluvia débil;Noche;Vías de gran tamaño;436044,0;4468964,0;2024-10-07;22;1
2024S028192;Caída;SALAMANCA;Lluvia débil;Noche;Vías de pequeño tamaño;441915,0;4474706,0;2024-10-07;22;1
2024S028193;Alcance;CENTRO;Nublado;Tarde;Vías de pequeño tamaño;439869,0;4474918,0;2024-10-08;16;0
2024S028194;Colisión doble;RETIRO;Lluvia débil;Mediodía;Vías rápidas o carreteras;443269,0;4472384,0;2024-10-08;15;0
2024S028195;Caída;CARABANCHEL;Lluvia débil;Mediodía;Vías de pequeño tamaño;439633,0;4471911,0;2024-10-08;14;1
2024S028196;Alcance;ARGANZUELA;Lluvia débil;Mediodía;Vías de pequeño tamaño;438961,0;4473915,0;2024-10-08;15;1
2024S028198;Colisión doble;RETIRO;Despejado;Tarde;Vías de pequeño tamaño;442004,0;4473168,0;2024-09-27;16;0
2024S028199;Colisión doble;VILLA DE VALLECAS;Lluvia débil;Mediodía;Vías rápidas o carreteras;445783,0;4469306,0;2024-10-08;15;1
2024S028200;Alcance;ARGANZUELA;Despejado;Tarde;Vías de gran tamaño;441049,0;4471795,0;2024-10-08;16;0
2024S028201;Colisión doble;CHAMBERÍ;Lluvia débil;Tarde;Vías de pequeño tamaño;439762,0;4477580,0;2024-10-08;16;0
2024S028202;Colisión doble;CHAMARTÍN;Nublado;Tarde;Vías de pequeño tamaño;443121,0;4478854,0;2024-10-08;16;2
2024S028205;Colisión doble;VILLA DE VALLECAS;Lluvia débil;Tarde;Instalaciones o infraestructuras;447709,0;4469593,0;2024-10-08;16;0
2024S028208;Choque;SALAMANCA;Lluvia débil;Tarde;Vías de pequeño tamaño;443558,0;4475319,0;2024-10-08;17;0
2024S028212;Alcance;CIUDAD LINEAL;Lluvia débil;Mediodía;Vías rápidas o carreteras;443974,0;4475930,0;2024-10-08;15;0
